,day_of_the_week,holiday_flg,holiday_name,days_from_last_holiday,days_of_consecutive_holidays
2014-07-22,Tuesday,0,,1.0,0.0
2014-07-23,Wednesday,0,,2.0,0.0
2014-07-24,Thursday,0,,3.0,0.0
2014-07-25,Friday,0,,4.0,0.0
2014-07-26,Saturday,1,,0.0,1.0
2014-07-27,Sunday,1,,0.0,2.0
2014-07-28,Monday,0,,1.0,0.0
2014-07-29,Tuesday,0,,2.0,0.0
2014-07-30,Wednesday,0,,3.0,0.0
2014-07-31,Thursday,0,,4.0,0.0
2014-08-01,Friday,0,,5.0,0.0
2014-08-02,Saturday,1,,0.0,1.0
2014-08-03,Sunday,1,,0.0,2.0
2014-08-04,Monday,0,,1.0,0.0
2014-08-05,Tuesday,0,,2.0,0.0
2014-08-06,Wednesday,0,,3.0,0.0
2014-08-07,Thursday,0,,4.0,0.0
2014-08-08,Friday,0,,5.0,0.0
2014-08-09,Saturday,1,,0.0,1.0
2014-08-10,Sunday,1,,0.0,2.0
2014-08-11,Monday,0,,1.0,0.0
2014-08-12,Tuesday,0,,2.0,0.0
2014-08-13,Wednesday,0,,3.0,0.0
2014-08-14,Thursday,0,,4.0,0.0
2014-08-15,Friday,0,,5.0,0.0
2014-08-16,Saturday,1,,0.0,1.0
2014-08-17,Sunday,1,,0.0,2.0
2014-08-18,Monday,0,,1.0,0.0
2014-08-19,Tuesday,0,,2.0,0.0
2014-08-20,Wednesday,0,,3.0,0.0
2014-08-21,Thursday,0,,4.0,0.0
2014-08-22,Friday,0,,5.0,0.0
2014-08-23,Saturday,1,,0.0,1.0
2014-08-24,Sunday,1,,0.0,2.0
2014-08-25,Monday,0,,1.0,0.0
2014-08-26,Tuesday,0,,2.0,0.0
2014-08-27,Wednesday,0,,3.0,0.0
2014-08-28,Thursday,0,,4.0,0.0
2014-08-29,Friday,0,,5.0,0.0
2014-08-30,Saturday,1,,0.0,1.0
2014-08-31,Sunday,1,,0.0,2.0
2014-09-01,Monday,0,,1.0,0.0
2014-09-02,Tuesday,0,,2.0,0.0
2014-09-03,Wednesday,0,,3.0,0.0
2014-09-04,Thursday,0,,4.0,0.0
2014-09-05,Friday,0,,5.0,0.0
2014-09-06,Saturday,1,,0.0,1.0
2014-09-07,Sunday,1,,0.0,2.0
2014-09-08,Monday,0,,1.0,0.0
2014-09-09,Tuesday,0,,2.0,0.0
2014-09-10,Wednesday,0,,3.0,0.0
2014-09-11,Thursday,0,,4.0,0.0
2014-09-12,Friday,0,,5.0,0.0
2014-09-13,Saturday,1,,0.0,1.0
2014-09-14,Sunday,1,,0.0,2.0
2014-09-15,Monday,1,敬老の日,0.0,3.0
2014-09-16,Tuesday,0,,1.0,0.0
2014-09-17,Wednesday,0,,2.0,0.0
2014-09-18,Thursday,0,,3.0,0.0
2014-09-19,Friday,0,,4.0,0.0
2014-09-20,Saturday,1,,0.0,1.0
2014-09-21,Sunday,1,,0.0,2.0
2014-09-22,Monday,0,,1.0,0.0
2014-09-23,Tuesday,1,秋分の日,0.0,1.0
2014-09-24,Wednesday,0,,1.0,0.0
2014-09-25,Thursday,0,,2.0,0.0
2014-09-26,Friday,0,,3.0,0.0
2014-09-27,Saturday,1,,0.0,1.0
2014-09-28,Sunday,1,,0.0,2.0
2014-09-29,Monday,0,,1.0,0.0
2014-09-30,Tuesday,0,,2.0,0.0
2014-10-01,Wednesday,0,,3.0,0.0
2014-10-02,Thursday,0,,4.0,0.0
2014-10-03,Friday,0,,5.0,0.0
2014-10-04,Saturday,1,,0.0,1.0
2014-10-05,Sunday,1,,0.0,2.0
2014-10-06,Monday,0,,1.0,0.0
2014-10-07,Tuesday,0,,2.0,0.0
2014-10-08,Wednesday,0,,3.0,0.0
2014-10-09,Thursday,0,,4.0,0.0
2014-10-10,Friday,0,,5.0,0.0
2014-10-11,Saturday,1,,0.0,1.0
2014-10-12,Sunday,1,,0.0,2.0
2014-10-13,Monday,1,体育の日,0.0,3.0
2014-10-14,Tuesday,0,,1.0,0.0
2014-10-15,Wednesday,0,,2.0,0.0
2014-10-16,Thursday,0,,3.0,0.0
2014-10-17,Friday,0,,4.0,0.0
2014-10-18,Saturday,1,,0.0,1.0
2014-10-19,Sunday,1,,0.0,2.0
2014-10-20,Monday,0,,1.0,0.0
2014-10-21,Tuesday,0,,2.0,0.0
2014-10-22,Wednesday,0,,3.0,0.0
2014-10-23,Thursday,0,,4.0,0.0
2014-10-24,Friday,0,,5.0,0.0
2014-10-25,Saturday,1,,0.0,1.0
2014-10-26,Sunday,1,,0.0,2.0
2014-10-27,Monday,0,,1.0,0.0
2014-10-28,Tuesday,0,,2.0,0.0
2014-10-29,Wednesday,0,,3.0,0.0
2014-10-30,Thursday,0,,4.0,0.0
2014-10-31,Friday,0,,5.0,0.0
2014-11-01,Saturday,1,,0.0,1.0
2014-11-02,Sunday,1,,0.0,2.0
2014-11-03,Monday,1,文化の日,0.0,3.0
2014-11-04,Tuesday,0,,1.0,0.0
2014-11-05,Wednesday,0,,2.0,0.0
2014-11-06,Thursday,0,,3.0,0.0
2014-11-07,Friday,0,,4.0,0.0
2014-11-08,Saturday,1,,0.0,1.0
2014-11-09,Sunday,1,,0.0,2.0
2014-11-10,Monday,0,,1.0,0.0
2014-11-11,Tuesday,0,,2.0,0.0
2014-11-12,Wednesday,0,,3.0,0.0
2014-11-13,Thursday,0,,4.0,0.0
2014-11-14,Friday,0,,5.0,0.0
2014-11-15,Saturday,1,,0.0,1.0
2014-11-16,Sunday,1,,0.0,2.0
2014-11-17,Monday,0,,1.0,0.0
2014-11-18,Tuesday,0,,2.0,0.0
2014-11-19,Wednesday,0,,3.0,0.0
2014-11-20,Thursday,0,,4.0,0.0
2014-11-21,Friday,0,,5.0,0.0
2014-11-22,Saturday,1,,0.0,1.0
2014-11-23,Sunday,1,勤労感謝の日,0.0,2.0
2014-11-24,Monday,1,勤労感謝の日 振替休日,0.0,3.0
2014-11-25,Tuesday,0,,1.0,0.0
2014-11-26,Wednesday,0,,2.0,0.0
2014-11-27,Thursday,0,,3.0,0.0
2014-11-28,Friday,0,,4.0,0.0
2014-11-29,Saturday,1,,0.0,1.0
2014-11-30,Sunday,1,,0.0,2.0
2014-12-01,Monday,0,,1.0,0.0
2014-12-02,Tuesday,0,,2.0,0.0
2014-12-03,Wednesday,0,,3.0,0.0
2014-12-04,Thursday,0,,4.0,0.0
2014-12-05,Friday,0,,5.0,0.0
2014-12-06,Saturday,1,,0.0,1.0
2014-12-07,Sunday,1,,0.0,2.0
2014-12-08,Monday,0,,1.0,0.0
2014-12-09,Tuesday,0,,2.0,0.0
2014-12-10,Wednesday,0,,3.0,0.0
2014-12-11,Thursday,0,,4.0,0.0
2014-12-12,Friday,0,,5.0,0.0
2014-12-13,Saturday,1,,0.0,1.0
2014-12-14,Sunday,1,,0.0,2.0
2014-12-15,Monday,0,,1.0,0.0
